"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","Hide","Notes"
"azure-mgmt-batchai","2.0.0","","Resource Management - Batch AI","Batch AI","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-batchai_2.0.0/azure-mgmt-batchai/","https://docs.microsoft.com/python/api/overview/azure/batchai","NA","","",""
"azure-mgmt-billing","1.0.0","","Resource Management - Billing","Billing","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-billing_0.2.0/azure-mgmt-billing/","https://docs.microsoft.com/python/api/overview/azure/billing","","","",""
"azure-mgmt-botservice","0.2.0","","Resource Management - Bot Service","Bot Service","botservice","NA","","","",""
"azure-mgmt-cdn","5.1.0","","Resource Management - Content Delivery Network","Content Delivery Network","cdn","","","","",""
"azure-mgmt-cognitiveservices","6.3.0","","Resource Management - Cognitive Services","Cognitive Services","cognitiveservices","NA","","","",""
"azure-mgmt-commerce","1.0.1","","Resource Management - Commerce","Commerce","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-commerce_1.0.1/azure-mgmt-commerce/","https://docs.microsoft.com/python/api/overview/azure/commerce","","","",""
"azure-mgmt-common","0.20.0","","Resource Management - Common","Core","NA","NA","NA","","",""
"azure-mgmt-consumption","3.0.0","","Resource Management - Consumption","Consumption","consumption","https://docs.microsoft.com/python/api/overview/azure/consumption","","","",""
"azure-mgmt-containerinstance","2.0.0","","Resource Management - Container Instance","Container Instance","containerinstance","","","","",""
"azure-mgmt-containerregistry","2.8.0","","Resource Management - Container Registry","Container Registry","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-containerregistry_2.8.0/azure-mgmt-containerregistry/","https://docs.microsoft.com/python/api/overview/azure/container-registry","NA","","",""
"azure-mgmt-containerservice","9.4.0","","Resource Management - Container Service","Container Service","containerservice","","","","",""
"azure-mgmt-core","1.2.1","","Resource Management - Core","Core","core","","","","",""
"azure-mgmt-cosmosdb","1.0.0","","Resource Management - Cosmos DB","Cosmos DB","cosmos","https://docs.microsoft.com/python/api/overview/azure/cosmosdb","","","",""
"azure-mgmt-costmanagement","0.2.0","","Resource Management - Cost Management","Cost Management","costmanagement","NA","","","",""
"azure-mgmt-customproviders","0.1.0","","Resource Management - Custom Providers","Custom Providers","customproviders","NA","","","",""
"azure-mgmt-databox","0.2.0","","Resource Management - Data Box","Data Box","databox","NA","","","",""
"azure-mgmt-databoxedge","0.1.0","","Resource Management - Data Box Edge","Data Box Edge","databoxedge","NA","","","",""
"azure-mgmt-databricks","0.1.0","","Resource Management - Databricks","Databricks","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-databricks_0.1.0/azure-mgmt-databricks/","NA","","","",""
"azure-mgmt-datadog","","1.0.0b1","Resource Management - Datadog","Datadog","NA","NA","","","",""
"azure-mgmt-datafactory","0.14.0","","Resource Management - Data Factory","Data Factory","datafactory","","","","",""
"azure-mgmt-datalake-analytics","0.6.0","","Resource Management - Data Lake Analytics","Data Lake","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-datalake-analytics_0.6.0/azure-mgmt-datalake-analytics/","https://docs.microsoft.com/python/api/overview/azure/data-lake-analytics","","","",""
"azure-mgmt-datalake-nspkg","3.0.1","","Resource Management - Data Lake Namespace Package","Data Lake","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-datalake-nspkg_3.0.1/azure-mgmt-datalake-nspkg/","NA","NA","","",""
"azure-mgmt-datalake-store","0.5.0","","Resource Management - Data Lake Store","Data Lake","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-datalake-store_0.5.0/azure-mgmt-datalake-store/","https://docs.microsoft.com/python/api/overview/azure/data-lake-store","","","",""
"azure-mgmt-datamigration","4.1.0","","Resource Management - Data Migration","Data Migration","datamigration","NA","","","",""
"azure-mgmt-datashare","0.2.0","","Resource Management - Data Share","Data Share","datashare","NA","","","",""
"azure-mgmt-deploymentmanager","0.2.0","","Resource Management - Deployment Manager","Deployment Manager","deploymentmanager","NA","","","",""
"azure-mgmt-devspaces","0.2.0","","Resource Management - Dev Spaces","Azure Kubernetes Service","aks","NA","","","",""
"azure-mgmt-devtestlabs","4.0.0","","Resource Management - DevTest Labs","DevTest Labs","devtestlabs","https://docs.microsoft.com/python/api/overview/azure/devtest-labs","","","",""
"azure-mgmt-digitaltwins","1.0.0","","Resource Management - Digital Twins","Digital Twins","digitaltwins","NA","","","",""
"azure-mgmt-dns","3.0.0","","Resource Management - Domain Name System","Network","network","https://docs.microsoft.com/python/api/overview/azure/dns","","","",""
"azure-mgmt-documentdb","0.1.3","","Resource Management - Document DB","Cosmos DB","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-documentdb_0.1.3/azure-mgmt-documentdb/","NA","NA","","",""
"azure-mgmt-edgegateway","0.1.0","","Resource Management - Edge Gateway","Edge Gateway","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-edgegateway_0.1.0/azure-mgmt-edgegateway/","NA","","","",""
"azure-mgmt-eventgrid","2.2.0","","Resource Management - Event Grid","Event Grid","eventgrid","NA","","","",""
"azure-mgmt-frontdoor","0.3.0","","Resource Management - Frontdoor","Network","network","NA","","","",""
"azure-mgmt-hanaonazure","0.14.0","","Resource Management - SAP Hana","SAP Hana","hanaonazure","NA","","","",""
"azure-mgmt-hdinsight","2.0.0","","Resource Management - HDInsight","HDInsight","hdinsight","","","","",""
"azure-mgmt-healthcareapis","0.1.0","","Resource Management - Healthcare Apis","Healthcare Apis","healthcareapis","NA","","","",""
"azure-mgmt-hybridcompute","2.0.0","","Resource Management - Hybrid Compute","Hybrid Compute","hybridcompute","NA","","","",""
"azure-mgmt-hybridkubernetes","0.1.0","","Resource Management - Hybrid Kubernetes","Hybrid Kubernetes","hybridkubernetes","NA","","","",""
"azure-mgmt-imagebuilder","0.4.0","","Resource Management - Image Builder","Compute","compute","NA","","","",""
"azure-mgmt-iotcentral","3.1.0","","Resource Management - Iot Central","Iot Hub","iothub","","","","",""
"azure-mgmt-iothub","0.12.0","","Resource Management - Iot Hub","Iot Hub","iothub","https://docs.microsoft.com/python/api/overview/azure/iot","","","",""
"azure-mgmt-iothubprovisioningservices","0.2.0","","Resource Management - Iot Hub Provisioning Services","Iot Hub","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-iothubprovisioningservices_0.2.0/azure-mgmt-iothubprovisioningservices/","NA","","","",""
"azure-mgmt-kubernetesconfiguration","0.2.0","","Resource Management - Kubernetes Configuration","Kubernetes Configuration","kubernetesconfiguration","NA","","","",""
"azure-mgmt-kusto","0.9.0","","Resource Management - Kusto","Kusto","kusto","","","","",""
"azure-mgmt-labservices","0.1.1","","Resource Management - Lab Services","Labservices","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-labservices_0.1.1/azure-mgmt-labservices","NA","","","",""
"azure-mgmt-loganalytics","1.0.0","","Resource Management - Log Analytics","Log Analytics","loganalytics","","","","",""
"azure-mgmt-logic","3.0.0","","Resource Management - Logic","Logic","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-logic_3.0.0/azure-mgmt-logic/","https://docs.microsoft.com/python/api/overview/azure/logic-apps","NA","","",""
"azure-mgmt-machinelearningcompute","0.4.1","","Resource Management - Machine Learning Compute","Machine Learning","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-machinelearningcompute_0.4.1/azure-mgmt-machinelearningcompute/","NA","","","",""
"azure-mgmt-machinelearningservices","0.1.0","","Resource Management - Machine Learning Services","Machine Learning","machinelearning","NA","","","",""
"azure-mgmt-maintenance","0.1.0","","Resource Management - Maintenance","Maintenance","maintenance","NA","","","",""
"azure-mgmt-managedservices","1.0.0","","Resource Management - Managed Services","Managed Services","managedservices","NA","","","",""
"azure-mgmt-managementgroups","0.2.0","","Resource Management - Management Groups","Management Groups","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-managementgroups_0.2.0/azure-mgmt-managementgroups/","NA","","","",""
"azure-mgmt-managementpartner","0.1.1","","Resource Management - Management Partner","Management Partner","managementpartner","NA","","","",""
"azure-mgmt-maps","0.1.0","","Resource Management - Maps","Maps","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-maps_0.1.0/azure-mgmt-maps/","NA","","","",""
"azure-mgmt-marketplaceordering","0.2.1","","Resource Management - Marketplace Ordering","Marketplace Ordering","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-marketplaceordering_0.2.1/azure-mgmt-marketplaceordering/","NA","","","",""
"azure-mgmt-media","3.0.0","","Resource Management - Media","Media","media","https://docs.microsoft.com/python/api/overview/azure/media-services","","","",""
"azure-mgmt-mixedreality","0.2.0","","Resource Management - Mixed Reality","Mixed Reality","mixedreality","https://docs.microsoft.com/python/api/overview/azure/mixed-reality","","","",""
"azure-mgmt-msi","1.0.0","","Resource Management - MSI","Resources","resources","NA","","","",""
"azure-mgmt-netapp","0.13.0","","Resource Management - NetApp","NetApp","netapp","","","","",""
"azure-mgmt-notificationhubs","2.1.0","","Resource Management - Notification Hubs","Notification Hubs","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-notificationhubs_2.1.0/azure-mgmt-notificationhubs/","https://docs.microsoft.com/python/api/overview/azure/notification-hubs","","","",""
"azure-mgmt-nspkg","3.0.2","","Resource Management - Namespace Package","Core","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-nspkg_3.0.2/azure-mgmt-nspkg/","NA","NA","","",""
"azure-mgmt-operationsmanagement","0.1.0","","Resource Management - Operations Management","Operations Management","operationsmanagement","NA","","","",""
"azure-mgmt-peering","0.2.0","","Resource Management - Peering","Peering","peering","NA","","","",""
"azure-mgmt-policyinsights","0.5.0","","Resource Management - Policy Insights","Policy Insights","policyinsights","NA","","","",""
"azure-mgmt-powerbidedicated","0.1.0","","Resource Management - Power BI Dedicated","Power BI Dedicated","powerbidedicated","NA","","","",""
"azure-mgmt-powerbiembedded","2.0.0","","Resource Management - Power BI Embedded","Power BI Embedded","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-powerbiembedded_2.0.0/azure-mgmt-powerbiembedded/","https://docs.microsoft.com/python/api/overview/azure/power-bi","","","",""
